"REF_DATE","GEO","DGUID","Demographic characteristics","Sex","Income concept","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","All persons","Both sexes","Market income","Number of persons","Number","223","thousands","3","v1529660394","1.1.1.1.1","27982","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","Market income","Percentage with income","Percent","239","units","0","v1529660395","1.1.1.1.2","87.5","A","","","1"
"2012","Canada","2021A000011124","All persons","Both sexes","Market income","Average income","2023 constant dollars","449","units","0","v1529660396","1.1.1.1.3","45700","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660397","1.1.1.1.4","52200","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","Market income","Median income","2023 constant dollars","449","units","0","v1529660398","1.1.1.1.5","29900","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660399","1.1.1.1.6","37900","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","Total income","Number of persons","Number","223","thousands","3","v1529660400","1.1.1.2.1","27982","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","Total income","Percentage with income","Percent","239","units","0","v1529660401","1.1.1.2.2","97.4","A","","","1"
"2012","Canada","2021A000011124","All persons","Both sexes","Total income","Average income","2023 constant dollars","449","units","0","v1529660402","1.1.1.2.3","52000","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660403","1.1.1.2.4","53400","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","Total income","Median income","2023 constant dollars","449","units","0","v1529660404","1.1.1.2.5","38500","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660405","1.1.1.2.6","39800","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","After-tax income","Number of persons","Number","223","thousands","3","v1529660406","1.1.1.3.1","27982","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","After-tax income","Percentage with income","Percent","239","units","0","v1529660407","1.1.1.3.2","97.6","A","","","1"
"2012","Canada","2021A000011124","All persons","Both sexes","After-tax income","Average income","2023 constant dollars","449","units","0","v1529660408","1.1.1.3.3","43800","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660409","1.1.1.3.4","44900","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","After-tax income","Median income","2023 constant dollars","449","units","0","v1529660410","1.1.1.3.5","35400","A","","","0"
"2012","Canada","2021A000011124","All persons","Both sexes","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529660411","1.1.1.3.6","36300","A","","","0"
"2012","Canada","2021A000011124","All persons","Males","Market income","Number of persons","Number","223","thousands","3","v1529660412","1.1.2.1.1","13744","A","","","0"
"2012","Canada","2021A000011124","All persons","Males","Market income","Percentage with income","Percent","239","units","0","v1529660413","1.1.2.1.2","90.2","A","","","1"
"2012","Canada","2021A000011124","All persons","Males","Market income","Average income","2023 constant dollars","449","units","0","v1529660414","1.1.2.1.3","57000","A","","","0"
"2012","Canada","2021A000011124","All persons","Males","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529660415","1.1.2.1.4","63200","A","","","0"
