"REF_DATE","GEO","DGUID","Statistic","Household type","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Total expenditure","Dollars","81","units","0","v54530160","1.1.1.1","72075","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Total current consumption","Dollars","81","units","0","v54530161","1.1.1.2","54013","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Food expenditures","Dollars","81","units","0","v54530162","1.1.1.3","7850","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from stores","Dollars","81","units","0","v54530163","1.1.1.4","5709","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Bakery products","Dollars","81","units","0","v64474289","1.1.1.43","581","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Cereal grains and cereal products","Dollars","81","units","0","v64474290","1.1.1.44","359","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Fruit, fruit preparations and nuts","Dollars","81","units","0","v64474291","1.1.1.45","713","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Vegetables and vegetable preparations","Dollars","81","units","0","v64474292","1.1.1.46","616","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Dairy products and eggs","Dollars","81","units","0","v64474293","1.1.1.47","899","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Meat","Dollars","81","units","0","v64474294","1.1.1.48","1027","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Fish and seafood","Dollars","81","units","0","v64474295","1.1.1.49","199","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Non-alcoholic beverages and other food products","Dollars","81","units","0","v64474296","1.1.1.50","1315","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from restaurants","Dollars","81","units","0","v54530164","1.1.1.5","2141","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Restaurant meals","Dollars","81","units","0","v64474297","1.1.1.51","1885","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Restaurant snacks and beverages","Dollars","81","units","0","v64474298","1.1.1.52","256","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Shelter","Dollars","81","units","0","v54530165","1.1.1.6","15020","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Principal accommodation","Dollars","81","units","0","v54530166","1.1.1.7","13586","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Rented living quarters","Dollars","81","units","0","v54530167","1.1.1.8","3088","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Rent","Dollars","81","units","0","v64474299","1.1.1.53","3001","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Tenants' repairs and improvements","Dollars","81","units","0","v64474300","1.1.1.54","33","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Tenants' insurance premiums","Dollars","81","units","0","v64474301","1.1.1.55","46","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Parking at rented living quarters (excluding amounts reported with rent)","Dollars","81","units","0","v64474302","1.1.1.56","8","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Owned living quarters","Dollars","81","units","0","v54530168","1.1.1.9","8259","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Mortgage paid for owned living quarters","Dollars","81","units","0","v64474303","1.1.1.57","4699","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Repairs and maintenance for owned living quarters","Dollars","81","units","0","v64474304","1.1.1.58","383","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Condominium fees for owned living quarters","Dollars","81","units","0","v64474305","1.1.1.59","254","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Property and school taxes for owned living quarters","Dollars","81","units","0","v64474306","1.1.1.60","1738","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Homeowners' insurance premiums for owned living quarters","Dollars","81","units","0","v64474307","1.1.1.61","541","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other expenditures for owned living quarters","Dollars","81","units","0","v64474308","1.1.1.62","644","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Commissions for sale of real estate owned by the household","Dollars","81","units","0","v64474309","1.1.1.63","256","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Legal fees related to owned living quarters","Dollars","81","units","0","v64474310","1.1.1.64","68","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Mortgage insurance premiums for owned living quarters","Dollars","81","units","0","v64474311","1.1.1.65","93","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Registration fees, renewal fees and early renewal or closing penalties for owned living quarters","Dollars","81","units","0","v64474312","1.1.1.67","46","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Transfer taxes and land registration fees for owned living quarters","Dollars","81","units","0","v64474313","1.1.1.68","153","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","All other expenses related to owned living quarters (excluding repairs and maintenance)","Dollars","81","units","0","v64474314","1.1.1.316","29","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54530169","1.1.1.10","2240","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Water and sewage for principal accommodation","Dollars","81","units","0","v64474315","1.1.1.69","301","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Electricity for principal accommodation","Dollars","81","units","0","v64474316","1.1.1.70","1202","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Natural gas for principal accommodation","Dollars","81","units","0","v64474317","1.1.1.71","557","","","","0"
